Specie,As,Ts
AR,1.964406e-04,1.802661e+02
AIR,1.560495e-04,1.779949e+02
BCl3,1.447166e-04,3.725478e+02
BF3,1.689595e-04,2.332445e+02
CCl4,1.234453e-04,3.580041e+02
CF4,1.609402e-04,1.962877e+02
CH3Cl,1.429164e-04,3.845030e+02
CH4,1.044576e-04,2.052014e+02
CO,1.517655e-04,1.799413e+02
COS,1.599080e-04,3.709211e+02
CO2,1.541814e-04,2.404772e+02
C2H2,1.122664e-04,2.727554e+02
C2H4,1.095318e-04,2.663404e+02
C2H6,9.976474e-05,2.582413e+02
C2N2,1.333804e-04,3.831540e+02
C3H6,9.983931e-05,2.883608e+02
C3H8,9.041920e-05,2.777039e+02
C4H10,9.630084e-05,3.652889e+02
C12H23,1.633883e-04,3.652889e+02
C6H6,1.082368e-04,4.496841e+02
Cl2,1.667466e-04,3.516523e+02
HBr,2.805913e-04,4.879007e+02
HCN,1.376975e-04,6.128788e+02
HCl,1.903068e-04,3.792650e+02
HF,1.587391e-04,3.651937e+02
H2,7.365480e-05,1.769116e+02
H2O,2.124675e-04,8.699486e+02
H2O2,1.169879e-04,3.262978e+02
NH3,1.713017e-04,6.015254e+02
N2H,2.236172e-04,6.015254e+02
N2H4,2.349787e-04,6.015254e+02
NH2,1.661550e-04,6.015254e+02
N2H3,2.312536e-04,6.015254e+02
N2H2,2.274674e-04,6.015254e+02
NH,1.608438e-04,6.015254e+02
NO,1.701490e-04,1.874436e+02
N2,1.483235e-04,1.773926e+02
N2O,1.615809e-04,2.732903e+02
O2,1.797454e-04,1.838105e+02
CH3OH,1.502279e-04,5.219275e+02
C2H5OH,1.161362e-04,3.974216e+02
CH3OCH3,1.281556e-04,4.315677e+02
C5H12,8.942834e-05,3.758065e+02
C6H12,8.490918e-05,3.336818e+02
H,6.097991e-05,1.767626e+02
OH,2.171392e-04,1.781244e+02
HO2,2.223248e-04,2.187734e+02
O,1.645137e-04,1.838105e+02
NO2,1.900750e-04,1.773926e+02
NO3,2.206644e-04,1.773926e+02
N2O4,2.336238e-04,2.732903e+02
HNO,1.729833e-04,1.874436e+02
HONO,1.921460e-04,1.773926e+02
HNO3,1.933353e-04,2.732903e+02
N,1.390703e-04,1.773926e+02
C12H26,1.648582e-04,3.652889e+02
C,1.383736e-04,1.767619e+02
C2,1.278875e-04,1.780159e+02
C3,1.566295e-04,1.780159e+02
CN,1.375440e-04,1.776581e+02
CH3NHNH2,9.716319e-05,3.050453e+02
CH3NNH2,1.014338e-04,2.987964e+02
CH3NNH,1.616616e-04,2.732903e+02
CH3NN,1.598016e-04,2.732903e+02
CH2OH,1.433828e-04,4.545452e+02
CH3,9.929179e-05,2.019987e+02
CH2O,1.486171e-04,5.387667e+02
HCO,1.461012e-04,5.387667e+02
NCO,1.578745e-04,2.732903e+02
HNCO,1.597570e-04,2.732903e+02
CH3O,1.433828e-04,4.545452e+02
CH2,9.590561e-05,2.019987e+02
CH2(S),9.590561e-05,2.019987e+02
